# ICTBWN308 Booklet – Option C Page Layout Instructions


| Page | Content |
|------|---------|
| Page 1 | Cover page — ACTA College logo, "Assessment Booklet", ICTBWN308 title, "Work safely on live optical fibre installations (release 1)", Student Name field |
| Page 2 | Assessment Competency Record — student/assessor details, task results table (Task 1: Observation, Task 2: Observation, Task 3: Observation, Task 4: Questions and Answers), attempt feedback table, Student Declaration, Assessor Declaration |
| Page 3 | Administrative Use Only, Unit Code/Name, Pre-requisites, Co-requisites, Unit Summary, Target Group, Conditions and Context of the Assessments, Specific Resources Required, Re-assessment, Plagiarism |
| Page 4 | Complaints and Appeal, Assessors Intervention, Attaching Documents, Assessment Instruction, all 4 task descriptions (Task 1: optical power measurement, Task 2: connecting and testing optical splitter, Task 3: WDM wavelengths live tests, Task 4: written questions and answers), Competency Decision |
| Page 5 | Reasonable Adjustment table, Cover Sheet for Submission |
| Page 6 | Assessment Task 1 — Observation (PC 1.1-1.6, 2.1-2.6): Practical Demonstration — Use of optical power measurement equipment and optical source, Student Instructions, Steps Involved (steps 1–2 using PON network online testing) |
| Page 7 | Assessment Task 1 — Assessor Checklist: Assessor Instructions, observed items list (interpret technical documents, liaison with experts, communication skills, read equipment manuals, appropriate cable installation, taking measurements, identify signal strength loss, identify faults, suggest remedies), Checklist Case 1 table (first half: job instructions, workplace procedures, minimise hazard, communication skills, liaise with personnel, relate to work associates, interpret technical documentation) |
| Page 8 | Assessment Task 1 — Assessor Checklist continued: Checklist Case 1 table (second half: take measurements, analyse output, identify signal strength loss causes, explain signal strength loss, health and safety, recognise test equipment features, describe equipment operation, WHS requirements, undertake independently, time management, communication skills, meet all criteria), Comments/Feedback, Student Declaration, Assessor Feedback, Result, Assessor Declaration |
| Page 9 | Assessment Task 2 — Observation (PC 3.1-3.6): Practical Demonstration — Connecting and Testing Optical Splitter, Assessment Description, Procedure (stages 1–3: prepare splitter, place in enclosure, prepare optical source and PON meter), Step by step process (steps 1–7) |
| Page 10 | Assessment Task 2 — Equipment Required (images of optical splitter, equipment and tool requirements photos, Stabilized Laser Source and Optical Power Meter images), Assessment Task 2 Assessor Checklist: Assessor Instructions, observed items list (prepare splitter, place in enclosure, prepare optical source and PON meter) |
| Page 11 | Assessment Task 2 — Assessor Checklist: Checklist Case 1 table (full checklist: job instructions, workplace procedures, minimise hazard, communicate with experts, interpret technical documentation, numeracy skills, PPE, safety procedures, install CAN cable, operate test equipment, perform fault clearance, use diagnostic equipment, optical fibre jointing techniques, specialised tools, direct termination, fusion splicing, mechanical splicing, WHS requirements, undertake independently, time management, communication skills, meet all criteria) |
| Page 12 | Assessment Task 2 — Assessor Checklist continued: Comments/Feedback, Student Declaration, Assessor Feedback, Result, Assessor Declaration |
| Page 13 | Assessment Task 3 — Observation (PC 3.4-3.6, PC 4.1-4.3): Practical Demonstration — Conduct live tests measuring optical signals at three WDM wavelengths on optical devices, Student Instructions, Procedure (stages 1–3), Step by step process (steps 1–9 including acceptance tests for delay, dispersion, optical attenuation, optical power levels, phase, complete connection recording, seal enclosures, remove waste, complete job record) |
| Page 14 | Assessment Task 3 — Assessor Checklist: Assessor Instructions, observed items list (prepare test equipment, operation of test equipment, perform measurement, record all test results, remove waste), Checklist Case 1 table (first half: job instructions, workplace procedures, minimise hazard, communicate with experts, interpret technical documentation, numeracy skills, PPE, safety procedures, install CAN cable, operate test equipment) |
| Page 15 | Assessment Task 3 — Assessor Checklist continued: Checklist Case 1 table (second half: perform fault clearance, use diagnostic equipment, optical fibre jointing techniques, specialised tools, direct termination, mechanical splicing, WHS requirements, undertake independently, time management, communication skills, meet all criteria), Comments/Feedback, Student Declaration, Assessor Feedback, Result, Assessor Declaration |
| Page 16 | Assessment Task 4 — Written Questions and Answers: Student Instructions, Questions 1–4 (Q1: where to find permission to access plant or site PC1.1, Q2: when to do hazard identification and risk assessment PC1.2, Q3: two ways to communicate hazard and risk information PC1.3, Q4: where to find information about tools and equipment PC1.5) |
| Page 17 | Assessment Task 4 — Questions 5–8 (Q5: identify FTTx network equipment and WDM components in ODN diagram with Passive Optical Network image showing components A–E, Q6: test equipment to identify live fibre without disconnecting PC2.1, Q7: tool to reassure fibre not connected to live optical source PC2.2, Q8: where to find input and output port identification details of an ODN PC2.3) |
| Page 18 | Assessment Task 4 — Questions 9–15 (Q9: why turn off power source while terminating other end PC2.4, Q10: identify input and output ports of connectorized optical splitter with multiple outputs PC2.5, Q11: what to confirm before turning on power source for new service PC2.6, Q12: where to test power level if measured output is lower than expected PC3.1, Q13: three common wavelengths tested during FTTx commissioning PC3.2, Q14: what happens if input signal drops below operational threshold PC3.3, Q15: how to compare measured losses with calculated losses PC3.4) |
| Page 19 | Assessment Task 4 — Questions 16–19 (Q16: why manufacturer-specified tests are important during ODN commissioning PC3.5, Q17: PON parameters to be recorded on test result during ODN commissioning PC3.6, Q18: why seal and secure enclosures after work PC4.1, Q19: where to dispose fibre offcuts and fibre shards PC4.2), Comments/Feedback, Student Declaration, Assessor Feedback, Result, Assessor Declaration, END OF ASSESSMENT |
