# ICTBWN307 Booklet – Page Layout Instructions

## Page Layout

| Page | Content |
|------|---------|
| Page 1 | Cover page — ACTA College logo (RTO NO: 40954), "Assessment Booklet", ICTBWN307 title, "Use optical measuring instruments (Release 1)", Student Name field |
| Page 2 | Assessment Competency Record — Student's Name, Assessor's Name, Assessment Site, Assessment Date fields; Assessor Declaration section; Evidence confirmation checkboxes (Valid, Sufficient, Current, Authentic); documentation attachment table (Assessment Task 1: Observation S/NS, Assessment Task 2: Observation S/NS, Assessment Task 3: Questions and Answers S/NS); Final Assessment Result (Competent / Not Competent); Attempt feedback table (Attempts 1–3 with Date and Assessor's Feedback columns, Final Feedback row); Student Declaration; Assessor Declaration |
| Page 3 | Administrative Use Only (Entered into Student Management Database, Signature/Initial, Date); Unit Code/Name: ICTBWN307 – Use optical measuring instruments (Release 1); Pre-requisites: N/A; Co-requisites: N/A; Unit Summary; Target Group; Conditions and Context of the Assessments (access requirements: site, tools/equipment/PPE, regulatory documentation); Specific Resources Required (Learner Guide, Assessment Booklet, Practical Workshop, Manufacturers Manuals and specifications, Workplace policy and procedures); Re-assessment policy |
| Page 4 | Plagiarism policy; Complaints and Appeal policy; Assessors Intervention policy; Attaching Documents requirements; Assessment Instruction (three tasks: Task 1 Observation, Task 2 Observation, Task 3 Written Questions and Answers; written answer instructions); Assessment Task 1 description: Use of optical power measurement equipment and optical source; Assessment Task 2 description: Practical Demonstration – Connecting and Testing optical patch cord; Assessment Task 3 description: Written questions and answers; Competency Decision |
| Page 5 | Reasonable Adjustment table (Educational and bilingual support, Presenting questions orally, Presenting work instructions in diagrammatic/pictorial form, Extra time to complete a course or assessment, Others — with Reason and Outcome columns); Cover Sheet for Submission of Work for Assessment |
| Page 6 | Assessment Task 1 – Observation (PC 1.1–1.5, 2.1–2.3): Practical Demonstration heading "Select and use of optical power measurement equipment's and optical source"; Student Instructions; Steps Involved (Steps 1–9: select hand-held optical power meter and optical source, test optical cable and patch cords with OFI-FTTx, select cleaning tools, connect power meter with patch cord, use OLTS to measure power levels and insertion loss, use PPE and follow safety procedures, record and compare results with PON meter, replace connection with ONT detector, compare calculated and actual measured values) |
| Page 7 | Assessment Task 1 – Assessor Checklist: checklist instructions; Assessor Instructions; observed skills list (Interpret technical documents, Liaison with experts, Communication skills, Read equipment manuals, Appropriate cable installation, Taking measurements, Identify signal strength loss, Identify the faults, Suggest remedies — all Observation 1); Checklist table Case 1 with Comments column (Date Observed; accessed and read job instructions; sourced workplace procedures and State/Territory requirements; applied precautions to minimise hazard; exhibited good communication skills; liaised with internal/external personnel on technical/operational matters; related to work associates/supervisors/team members/clients; exhibited skills in interpreting technical documentation including equipment manuals/specifications/requirements for optical fibre cable installation) |
| Page 8 | Assessment Task 1 – Assessor Checklist continued: checklist items (took measurements correctly, analysed output, identified causes of signal strength loss, explained reasons for signal strength loss, complied with health and safety requirements, recognised features and operating requirements of test equipment, described how to operate equipment according to test specification, described WHS requirements relating to activity and site conditions, undertook task independently, demonstrated time management, exhibited good communication skills, met all criteria); Comments/Feedback to Participant; Student Declaration with Signature/Date; Assessor's Feedback box; Result: Satisfactory (S) / Not Satisfactory (NS); Assessor Declaration with Signature/Date |
| Page 9 | Assessment Task 2 – Observation (PC1.2–1.4, 2.1–2.4): Practical Demonstration heading "Connecting VFL and Testing optical Patch Cord"; Assessment Description; Procedure (three stages: 1. Prepare Patch cord for testing, 2. Connect VFL to one end of the patch cord from an enclosure, 3. Check and identify the correct patch cord has visual light output at the far end); Equipment Required (1. Visual Fault Locator, 2. Patch cord) |
| Page 10 | Equipment images page — photographs of: optical patch cords (green APC connectors); Anritsu Stabilized Laser Source and Anritsu Optical Power Meter (side-by-side); Visual Fault Locator pen-style device connected to yellow patch cord showing red laser light at far end |
| Page 11 | Assessment Task 2 – Assessor Checklist: checklist instructions; Assessor Instructions; observed tasks list (1. Prepare Patch cord for testing, 2. Connect the VFL to the Patch cord, 3. Check and identify the correct end of the patch cord with Visual light from VFL, 4. Identify any fault in the patch cord); Checklist table Case 1 with Comments (Date Observed; accessed and read job instructions; sourced workplace procedures and State/Territory requirements; applied precautions to minimise hazard; communicated with technical experts professionally; interpreted technical documentation for optical fibre cable installation; exhibited numeracy skills to take and analyse measurements; selected and used required PPE conforming to industry and OHS standards; followed safety procedures while setting up equipment; installed customer access network (CAN) cable; operated test equipment to perform measurements on optical fibre; performed fault clearance) |
